"action_id","pillar","source_section","action_summary","primary_persona","mapped_personas","mapping_note","source_url","status"
"act-031","Pillar 3","Solving national challenges through AI missions","Canada will launch a new AI Missions Program to advance targeted, high-impact projects that deliver significant public good and demonstrate meaningful improvements in Canadians' lives. The first mission will commit $200 million to improving health outcomes for Canadians. More missions will follow in other priority sectors.","Future Canadian","Future Canadian; Concerned Canadian; AI Entrepreneur","Public-good mission action with health as the first visible benefit area.","https://ised-isde.canada.ca/site/ised/en/canadas-national-artificial-intelligence-strategy-ai-all#:~:text=Canada%20will%20launch%20a%20new%20AI%20Missions%20Program%20to%20advance%20targeted%2C%20high-impact%20projects%20that%20deliver%20significant%20public%20good%20and%20demonstrate%20meaningful%20improvements%20in%20Canadians'%20lives.%20The%20first%20mission%20will%20commit%20%24200%20million%20to%20improving%20health%20outcomes%20for%20Canadians.%20More%20missions%20will%20follow%20in%20other%20priority%20sectors.","captured"
"act-032","Pillar 3","Solving national challenges through AI missions","Canada will launch sector-specific Workforce Alliances across six priority sectors to bring together governments, employers, unions, post-secondary institutions, and Indigenous partners to identify skills gaps, coordinate talent pipelines, and align public-private investment with workforce transformation needs across essential economic sectors.","Workplace AI Adopter","Workplace AI Adopter; Student / Future Worker; Future Canadian","Workforce coordination action across sectors.","https://ised-isde.canada.ca/site/ised/en/canadas-national-artificial-intelligence-strategy-ai-all#:~:text=Canada%20will%20launch%20sector-specific%20Workforce%20Alliances%20across%20six%20priority%20sectors%20to%20bring%20together%20governments%2C%20employers%2C%20unions%2C%20post-secondary%20institutions%2C%20and%20Indigenous%20partners%20to%20identify%20skills%20gaps%2C%20coordinate%20talent%20pipelines%2C%20and%20align%20public-private%20investment%20with%20workforce%20transformation%20needs%20across%20essential%20economic%20sectors.","captured"
"act-033","Pillar 3","Transforming Public Service Delivery with AI","Canada will accelerate the procurement and delivery of AI solutions across the federal government through the Office of Digital Transformation.","Workplace AI Adopter","Workplace AI Adopter; AI Entrepreneur; Future Canadian","Public-service implementation and government buyer action.","https://ised-isde.canada.ca/site/ised/en/canadas-national-artificial-intelligence-strategy-ai-all#:~:text=Canada%20will%20accelerate%20the%20procurement%20and%20delivery%20of%20AI%20solutions%20across%20the%20federal%20government%20through%20the%20Office%20of%20Digital%20Transformation.","captured"
"act-034","Pillar 3","Transforming Public Service Delivery with AI","Canada will launch the Prime Minister’s Innovation Fellows Program to recruit and deploy technical talent that rapidly builds the internal muscle, operational capacity, and commercial fluency required to procure, evaluate, and deploy AI systems effectively within government.","Workplace AI Adopter","Workplace AI Adopter; AI Entrepreneur; Future Canadian","Public-sector talent and delivery-capacity action.","https://ised-isde.canada.ca/site/ised/en/canadas-national-artificial-intelligence-strategy-ai-all#:~:text=Canada%20will%20launch%20the%20Prime%20Minister%E2%80%99s%20Innovation%20Fellows%20Program%20to%20recruit%20and%20deploy%20technical%20talent%20that%20rapidly%20builds%20the%20internal%20muscle%2C%20operational%20capacity%2C%20and%20commercial%20fluency%20required%20to%20procure%2C%20evaluate%2C%20and%20deploy%20AI%20systems%20effectively%20within%20government.","captured"
"act-035","Pillar 4","Sovereign compute, cloud, and connectivity","Canada will build a world-leading public supercomputer, giving Canadian researchers and SMEs access to secure, sovereign, high-performance compute for cutting-edge public and industry-driven innovation.","AI Entrepreneur","AI Entrepreneur; Small Business Owner; Future Canadian","Compute access is a core founder and commercialization need.","https://ised-isde.canada.ca/site/ised/en/canadas-national-artificial-intelligence-strategy-ai-all#:~:text=Canada%20will%20build%20a%20world-leading%20public%20supercomputer%2C%20giving%20Canadian%20researchers%20and%20SMEs%20access%20to%20secure%2C%20sovereign%2C%20high-performance%20compute%20for%20cutting-edge%20public%20and%20industry-driven%20innovation.","captured"
"act-036","Pillar 4","Sovereign compute, cloud, and connectivity","Canada will leverage government and industrial AI workloads and crowd-in private capital to significantly expand sovereign compute and cloud infrastructure. This will support the construction of large‑scale AI data centres that can scale to at least 100 megawatts (MW), and that are designed to serve a broad spectrum of Canadian clients. These partnerships are being finalized, and have proposed providing 850 MW of compute capacity by 2030, with scaling capacity of up to 2.3 GW with corresponding investments in the tens of billions.","Future Canadian","Future Canadian; AI Entrepreneur; Small Business Owner; Concerned Canadian","Infrastructure action with public-benefit, sovereignty, and business-access implications.","https://ised-isde.canada.ca/site/ised/en/canadas-national-artificial-intelligence-strategy-ai-all#:~:text=Canada%20will%20leverage%20government%20and%20industrial%20AI%20workloads%20and%20crowd-in%20private%20capital%20to%20significantly%20expand%20sovereign%20compute%20and%20cloud%20infrastructure.%20This%20will%20support%20the%20construction%20of%20large%E2%80%91scale%20AI%20data%20centres%20that%20can%20scale%20to%20at%20least%20100%20megawatts%20(MW)%2C%20and%20that%20are%20designed%20to%20serve%20a%20broad%20spectrum%20of%20Canadian%20clients.%20These%20partnerships%20are%20being%20finalized%2C%20and%20have%20proposed%20providing%20850%20MW%20of%20compute%20capacity%20by%202030%2C%20with%20scaling%20capacity%20of%20up%20to%202.3%20GW%20with%20corresponding%20investments%20in%20the%20tens%20of%20billions.","captured"
"act-037","Pillar 4","Sovereign compute, cloud, and connectivity","Canada will expand diverse high-capacity fibre lines and satellite connectivity, resulting in resilient network infrastructure with sovereign capabilities.","Other","Future Canadian; Small Business Owner; Other","Connectivity infrastructure action that mostly sits below the persona layer.","https://ised-isde.canada.ca/site/ised/en/canadas-national-artificial-intelligence-strategy-ai-all#:~:text=Canada%20will%20expand%20diverse%20high-capacity%20fibre%20lines%20and%20satellite%20connectivity%2C%20resulting%20in%20resilient%20network%20infrastructure%20with%20sovereign%20capabilities.","captured"
"act-038","Pillar 4","Sovereign compute, cloud, and connectivity","Canada will further enhance and secure its chip design and fabrication capabilities, building on the recent announcement to spin off the National Research Council’s Photonics Fabrication Centre.","Other","AI Entrepreneur; Other","Hardware supply-chain action with limited direct persona fit.","https://ised-isde.canada.ca/site/ised/en/canadas-national-artificial-intelligence-strategy-ai-all#:~:text=Canada%20will%20further%20enhance%20and%20secure%20its%20chip%20design%20and%20fabrication%20capabilities%2C%20building%20on%20the%20recent%20announcement%20to%20spin%20off%20the%20National%20Research%20Council%E2%80%99s%20Photonics%20Fabrication%20Centre.","captured"
"act-039","Pillar 4","Sovereign compute, cloud, and connectivity","Canada will invest to build and reinforce secure digital systems used for Government operations, including sovereign cloud, AI, cyber and quantum initiatives.","Concerned Canadian","Concerned Canadian; Workplace AI Adopter; Future Canadian; Other","Trust, public-service, and national infrastructure action.","https://ised-isde.canada.ca/site/ised/en/canadas-national-artificial-intelligence-strategy-ai-all#:~:text=Canada%20will%20invest%20to%20build%20and%20reinforce%20secure%20digital%20systems%20used%20for%20Government%20operations%2C%20including%20sovereign%20cloud%2C%20AI%2C%20cyber%20and%20quantum%20initiatives.","captured"
"act-040","Pillar 4","Unlocking the power of data","Canada will invest $100 million to launch the Health Sector Data Space, in partnership with the Canadian Institute for Health Information (CIHI), to link secure, private and standardized datasets to strengthen clinical trials, health services research and performance measurements.","Future Canadian","Future Canadian; Concerned Canadian; AI Entrepreneur","Health-data action balancing care improvement, privacy, and innovation.","https://ised-isde.canada.ca/site/ised/en/canadas-national-artificial-intelligence-strategy-ai-all#:~:text=Canada%20will%20invest%20%24100%20million%20to%20launch%20the%20Health%20Sector%20Data%20Space%2C%20in%20partnership%20with%20the%20Canadian%20Institute%20for%20Health%20Information%20(CIHI)%2C%20to%20link%20secure%2C%20private%20and%20standardized%20datasets%20to%20strengthen%20clinical%20trials%2C%20health%20services%20research%20and%20performance%20measurements.","captured"
"act-041","Pillar 4","Unlocking the power of data","Canada will also invest $100 million to expand VITAL in five additional provinces, supporting its ability to leverage clinical data from hospitals and enable health data innovation that reduces mortality rates and accelerates critical care for Canadians.","Future Canadian","Future Canadian; Concerned Canadian; AI Entrepreneur","Health-system and health-data innovation action.","https://ised-isde.canada.ca/site/ised/en/canadas-national-artificial-intelligence-strategy-ai-all#:~:text=Canada%20will%20also%20invest%20%24100%20million%20to%20expand%20VITAL%20in%20five%20additional%20provinces%2C%20supporting%20its%20ability%20to%20leverage%20clinical%20data%20from%20hospitals%20and%20enable%20health%20data%20innovation%20that%20reduces%20mortality%20rates%20and%20accelerates%20critical%20care%20for%20Canadians.","captured"
"act-042","Pillar 4","Anchoring world-class research talent in Canada","Canada will strengthen our network of national AI institutes and increase the Canada CIFAR AI Chairs program from 130 to nearly 200 researchers. This means more world-class AI talent working in Canada, more ideas moving from research labs into businesses and public services, and more support to help Canadians understand and use AI.","Student / Future Worker","Student / Future Worker; AI Entrepreneur; Future Canadian","Talent pipeline and research-commercialization action.","https://ised-isde.canada.ca/site/ised/en/canadas-national-artificial-intelligence-strategy-ai-all#:~:text=Canada%20will%20strengthen%20our%20network%20of%20national%20AI%20institutes%20and%20increase%20the%20Canada%20CIFAR%20AI%20Chairs%20program%20from%20130%20to%20nearly%20200%20researchers.%20This%20means%20more%20world-class%20AI%20talent%20working%20in%20Canada%2C%20more%20ideas%20moving%20from%20research%20labs%20into%20businesses%20and%20public%20services%2C%20and%20more%20support%20to%20help%20Canadians%20understand%20and%20use%20AI.","captured"
"act-043","Pillar 4","Anchoring world-class research talent in Canada","Canada will expand the Global Talent Stream to accelerate entry and onboarding of highly-skilled AI workers, and align measures for permanent residency to retain the talent Canada recruits.","AI Entrepreneur","AI Entrepreneur; Student / Future Worker; Other","Talent attraction matters most to scaling companies and research capacity.","https://ised-isde.canada.ca/site/ised/en/canadas-national-artificial-intelligence-strategy-ai-all#:~:text=Canada%20will%20expand%20the%20Global%20Talent%20Stream%20to%20accelerate%20entry%20and%20onboarding%20of%20highly-skilled%20AI%20workers%2C%20and%20align%20measures%20for%20permanent%20residency%20to%20retain%20the%20talent%20Canada%20recruits.","captured"
"act-044","Pillar 5","Creating an investment flywheel that rewards responsible risk-taking","Canada will establish a $500 million Canadian Tech Growth Fund to help close the scale-up capital gap facing Canada’s most promising AI companies. The Fund will provide flexible growth capital and investment support, and enable the federal government, at times, to take equity stakes in the most promising Canadian AI firms. This will help them attract private capital, compete globally, retain talent and intellectual property, and remain anchored in Canada. Where appropriate, Canada will leverage its recently announced Sovereign Wealth Fund to further support emerging national champions.","AI Entrepreneur","AI Entrepreneur; Future Canadian","Core scale-up capital action with public-upside implications.","https://ised-isde.canada.ca/site/ised/en/canadas-national-artificial-intelligence-strategy-ai-all#:~:text=Canada%20will%20establish%20a%20%24500%20million%20Canadian%20Tech%20Growth%20Fund%20to%20help%20close%20the%20scale-up%20capital%20gap%20facing%20Canada%E2%80%99s%20most%20promising%20AI%20companies.%20The%20Fund%20will%20provide%20flexible%20growth%20capital%20and%20investment%20support%2C%20and%20enable%20the%20federal%20government%2C%20at%20times%2C%20to%20take%20equity%20stakes%20in%20the%20most%20promising%20Canadian%20AI%20firms.%20This%20will%20help%20them%20attract%20private%20capital%2C%20compete%20globally%2C%20retain%20talent%20and%20intellectual%20property%2C%20and%20remain%20anchored%20in%20Canada.%20Where%20appropriate%2C%20Canada%20will%20leverage%20its%20recently%20announced%20Sovereign%20Wealth%20Fund%20to%20further%20support%20emerging%20national%20champions.","captured"
"act-045","Pillar 5","Creating an investment flywheel that rewards responsible risk-taking","By Budget 2026, the Department of Finance will work with experts to explore mechanisms that encourage Canadians to reinvest gains earned from successful tech companies into new Canadian AI startups.","AI Entrepreneur","AI Entrepreneur; Other","Startup-capital recycling action with narrow founder/investor fit.","https://ised-isde.canada.ca/site/ised/en/canadas-national-artificial-intelligence-strategy-ai-all#:~:text=By%20Budget%202026%2C%20the%20Department%20of%20Finance%20will%20work%20with%20experts%20to%20explore%20mechanisms%20that%20encourage%20Canadians%20to%20reinvest%20gains%20earned%20from%20successful%20tech%20companies%20into%20new%20Canadian%20AI%20startups.","captured"
"act-046","Pillar 5","Creating an investment flywheel that rewards responsible risk-taking","Canada will also leverage $1.75 billion of federal investments and commitments announced in Budget 2025 to stimulate private sector investment in venture capital and address access to capital gaps for innovative companies, including those in AI.","AI Entrepreneur","AI Entrepreneur","Scale-up financing action.","https://ised-isde.canada.ca/site/ised/en/canadas-national-artificial-intelligence-strategy-ai-all#:~:text=Canada%20will%20also%20leverage%20%241.75%20billion%20of%20federal%20investments%20and%20commitments%20announced%20in%20Budget%202025%20to%20stimulate%20private%20sector%20investment%20in%20venture%20capital%20and%20address%20access%20to%20capital%20gaps%20for%20innovative%20companies%2C%20including%20those%20in%20AI.","captured"
"act-047","Pillar 5","Creating an investment flywheel that rewards responsible risk-taking","Canada will establish the federal government as a strategic anchor customer and leverage the Buy Canadian policy to provide domestic scale-ups with the revenue and validation they need to successfully export their solutions globally.","AI Entrepreneur","AI Entrepreneur; Workplace AI Adopter; Future Canadian","Government customer action for founders and public-service adoption.","https://ised-isde.canada.ca/site/ised/en/canadas-national-artificial-intelligence-strategy-ai-all#:~:text=Canada%20will%20establish%20the%20federal%20government%20as%20a%20strategic%20anchor%20customer%20and%20leverage%20the%20Buy%20Canadian%20policy%20to%20provide%20domestic%20scale-ups%20with%20the%20revenue%20and%20validation%20they%20need%20to%20successfully%20export%20their%20solutions%20globally.","captured"
"act-048","Pillar 5","Accelerating SME commercialization on Canadian infrastructure","Canada will provide Canadian SMEs with an additional $700 million in affordable sovereign compute through an expansion of the Compute Access Fund.","AI Entrepreneur","AI Entrepreneur; Small Business Owner","Compute access for commercialization and adoption.","https://ised-isde.canada.ca/site/ised/en/canadas-national-artificial-intelligence-strategy-ai-all#:~:text=Canada%20will%20provide%20Canadian%20SMEs%20with%20an%20additional%20%24700%20million%20in%20affordable%20sovereign%20compute%20through%20an%20expansion%20of%20the%20Compute%20Access%20Fund.","captured"
"act-049","Pillar 5","Accelerating SME commercialization on Canadian infrastructure","Canada will invest $130 million for commercialization programs across the National AI Institutes, including for Founders-in-Residence, to cultivate a new generation of AI entrepreneurs.","AI Entrepreneur","AI Entrepreneur; Student / Future Worker","Founder creation and research-to-market action.","https://ised-isde.canada.ca/site/ised/en/canadas-national-artificial-intelligence-strategy-ai-all#:~:text=Canada%20will%20invest%20%24130%20million%20for%20commercialization%20programs%20across%20the%20National%20AI%20Institutes%2C%20including%20for%20Founders-in-Residence%2C%20to%20cultivate%20a%20new%20generation%20of%20AI%20entrepreneurs.","captured"
"act-050","Pillar 5","Accelerating SME commercialization on Canadian infrastructure","Canada will assess the full continuum of innovation programs to better align existing innovation instruments so that the path from research to market is shorter, clearer, and built around the needs of Canadian entrepreneurs.","AI Entrepreneur","AI Entrepreneur","Founder and commercialization-system action.","https://ised-isde.canada.ca/site/ised/en/canadas-national-artificial-intelligence-strategy-ai-all#:~:text=Canada%20will%20assess%20the%20full%20continuum%20of%20innovation%20programs%20to%20better%20align%20existing%20innovation%20instruments%20so%20that%20the%20path%20from%20research%20to%20market%20is%20shorter%2C%20clearer%2C%20and%20built%20around%20the%20needs%20of%20Canadian%20entrepreneurs.","captured"
"act-051","Pillar 5","Accelerating SME commercialization on Canadian infrastructure","Canada will leverage $159 million invested in Budget 2025 through the Elevate IP and IP Assist programs to protect Canadian intellectual property and support SMEs to commercialize their intangible assets in the global marketplace.","AI Entrepreneur","AI Entrepreneur; Small Business Owner","IP and commercialization support for firms.","https://ised-isde.canada.ca/site/ised/en/canadas-national-artificial-intelligence-strategy-ai-all#:~:text=Canada%20will%20leverage%20%24159%20million%20invested%20in%20Budget%202025%20through%20the%20Elevate%20IP%20and%20IP%20Assist%20programs%20to%20protect%20Canadian%20intellectual%20property%20and%20support%20SMEs%20to%20commercialize%20their%20intangible%20assets%20in%20the%20global%20marketplace.","captured"
"act-052","Pillar 5","Championing our foundation models","Canada will anchor its homegrown foundation model capabilities at home, and support their international growth by exporting them to a growing global market actively seeking trusted alternatives.","AI Entrepreneur","AI Entrepreneur; Future Canadian; Other","Foundation-model sovereignty and export action.","https://ised-isde.canada.ca/site/ised/en/canadas-national-artificial-intelligence-strategy-ai-all#:~:text=Canada%20will%20anchor%20its%20homegrown%20foundation%20model%20capabilities%20at%20home%2C%20and%20support%20their%20international%20growth%20by%20exporting%20them%20to%20a%20growing%20global%20market%20actively%20seeking%20trusted%20alternatives.","captured"
"act-053","Pillar 5","Championing our foundation models","Canada will support research in Canadian foundation models built with safety at their core, drawing on the country's deep bench of AI safety research to make trustworthiness a defining feature of Canadian models.","AI Entrepreneur","AI Entrepreneur; Concerned Canadian; Future Canadian","Connects model development with trust and safety.","https://ised-isde.canada.ca/site/ised/en/canadas-national-artificial-intelligence-strategy-ai-all#:~:text=Canada%20will%20support%20research%20in%20Canadian%20foundation%20models%20built%20with%20safety%20at%20their%20core%2C%20drawing%20on%20the%20country's%20deep%20bench%20of%20AI%20safety%20research%20to%20make%20trustworthiness%20a%20defining%20feature%20of%20Canadian%20models.","captured"
"act-054","Pillar 6","Spearheading a multinational sovereign technology alliance","Canada will expand the newly formed Sovereign Technology Alliance to enable secure and interoperable AI capabilities and open procurement opportunities for domestic champions. This will accelerate responsible AI adoption, de-risk private-sector investment and cross-border deployment, reduce strategic dependence on dominant technology ecosystems while safeguarding rights and data, and expand joint research, talent, and investment opportunities.","AI Entrepreneur","AI Entrepreneur; Future Canadian; Other","Market access and strategic-autonomy action.","https://ised-isde.canada.ca/site/ised/en/canadas-national-artificial-intelligence-strategy-ai-all#:~:text=Canada%20will%20expand%20the%20newly%20formed%20Sovereign%20Technology%20Alliance%20to%20enable%20secure%20and%20interoperable%20AI%20capabilities%20and%20open%20procurement%20opportunities%20for%20domestic%20champions.%20This%20will%20accelerate%20responsible%20AI%20adoption%2C%20de-risk%20private-sector%20investment%20and%20cross-border%20deployment%2C%20reduce%20strategic%20dependence%20on%20dominant%20technology%20ecosystems%20while%20safeguarding%20rights%20and%20data%2C%20and%20expand%20joint%20research%2C%20talent%2C%20and%20investment%20opportunities.","captured"
"act-055","Pillar 6","Spearheading a multinational sovereign technology alliance","Canada will leverage the Trade Commissioner Service and diplomatic networks to attract foreign investment in AI, showcase Canadian champions abroad, and enable new markets for Canadian firms.","AI Entrepreneur","AI Entrepreneur","Export and investment support for Canadian AI firms.","https://ised-isde.canada.ca/site/ised/en/canadas-national-artificial-intelligence-strategy-ai-all#:~:text=Canada%20will%20leverage%20the%20Trade%20Commissioner%20Service%20and%20diplomatic%20networks%20to%20attract%20foreign%20investment%20in%20AI%2C%20showcase%20Canadian%20champions%20abroad%2C%20and%20enable%20new%20markets%20for%20Canadian%20firms.","captured"
"act-056","Pillar 6","Advancing open-source AI for resilience and choice","Canada will lead a global, multi-stakeholder effort to invest in and sustain open-source AI development in the public interest, working with like-minded countries, Canadian AI institutes, researchers, civil society, industry, and global open-source organizations.","Other","Small Business Owner; AI Entrepreneur; Future Canadian; Other","Open-source ecosystem action with public-interest and adoption implications.","https://ised-isde.canada.ca/site/ised/en/canadas-national-artificial-intelligence-strategy-ai-all#:~:text=Canada%20will%20lead%20a%20global%2C%20multi-stakeholder%20effort%20to%20invest%20in%20and%20sustain%20open-source%20AI%20development%20in%20the%20public%20interest%2C%20working%20with%20like-minded%20countries%2C%20Canadian%20AI%20institutes%2C%20researchers%2C%20civil%20society%2C%20industry%2C%20and%20global%20open-source%20organizations.","captured"
"act-057","Pillar 6","Advancing open-source AI for resilience and choice","Canada will support the responsible adoption of open-source AI by Canadian researchers, SMEs, not-for-profit organizations, and public-interest innovators, working to create an inventory and shared library of access tools that are transparent, adaptable, secure, and aligned with Canadian needs.","Small Business Owner","Small Business Owner; AI Entrepreneur; Workplace AI Adopter; Other","Practical tool-access action for SMEs, innovators, and teams.","https://ised-isde.canada.ca/site/ised/en/canadas-national-artificial-intelligence-strategy-ai-all#:~:text=Canada%20will%20support%20the%20responsible%20adoption%20of%20open-source%20AI%20by%20Canadian%20researchers%2C%20SMEs%2C%20not-for-profit%20organizations%2C%20and%20public-interest%20innovators%2C%20working%20to%20create%20an%20inventory%20and%20shared%20library%20of%20access%20tools%20that%20are%20transparent%2C%20adaptable%2C%20secure%2C%20and%20aligned%20with%20Canadian%20needs.","captured"
"act-058","Pillar 6","Expanding international partnerships and AI collaboration","Europe: Germany is Canada’s anchor partner through the Sovereign Technology Alliance, with broader cooperation on critical minerals, clean energy, aerospace and defence. The UK is advancing joint work on AI safety, standards and defence AI. France is coordinating with Canada on AI governance under its G7 Presidency. The EU-Canada Strategic Partnership of the Future will embed AI alongside critical minerals, clean energy and defence. Finland and Norway add complementary strengths in connectivity, space, digitalization and critical minerals.","Other","AI Entrepreneur; Other","International partnership action; relevant to firms but mostly diplomatic/economic infrastructure.","https://ised-isde.canada.ca/site/ised/en/canadas-national-artificial-intelligence-strategy-ai-all#:~:text=Europe%3A%20Germany%20is%20Canada%E2%80%99s%20anchor%20partner%20through%20the%20Sovereign%20Technology%20Alliance%2C%20with%20broader%20cooperation%20on%20critical%20minerals%2C%20clean%20energy%2C%20aerospace%20and%20defence.%20The%20UK%20is%20advancing%20joint%20work%20on%20AI%20safety%2C%20standards%20and%20defence%20AI.%20France%20is%20coordinating%20with%20Canada%20on%20AI%20governance%20under%20its%20G7%20Presidency.%20The%20EU-Canada%20Strategic%20Partnership%20of%20the%20Future%20will%20embed%20AI%20alongside%20critical%20minerals%2C%20clean%20energy%20and%20defence.%20Finland%20and%20Norway%20add%20complementary%20strengths%20in%20connectivity%2C%20space%2C%20digitalization%20and%20critical%20minerals.","captured"
"act-059","Pillar 6","Expanding international partnerships and AI collaboration","Indo-Pacific: Canada, Australia, and India are formalizing a trilateral technology and innovation partnership covering AI, quantum, trade missions, and private-sector matchmaking. Canada is also collaborating with Australia's AI Safety Institute on shared evaluation expertise. Japan offers opportunities in semiconductors, robotics, industrial AI, and quantum computing through the modernized Canada-Japan Joint Economic Committee.","Other","AI Entrepreneur; Other","International market and technology partnership action.","https://ised-isde.canada.ca/site/ised/en/canadas-national-artificial-intelligence-strategy-ai-all#:~:text=Indo-Pacific%3A%20Canada%2C%20Australia%2C%20and%20India%20are%20formalizing%20a%20trilateral%20technology%20and%20innovation%20partnership%20covering%20AI%2C%20quantum%2C%20trade%20missions%2C%20and%20private-sector%20matchmaking.%20Canada%20is%20also%20collaborating%20with%20Australia's%20AI%20Safety%20Institute%20on%20shared%20evaluation%20expertise.%20Japan%20offers%20opportunities%20in%20semiconductors%2C%20robotics%2C%20industrial%20AI%2C%20and%20quantum%20computing%20through%20the%20modernized%20Canada-Japan%20Joint%20Economic%20Committee.","captured"
"act-060","Pillar 6","Expanding international partnerships and AI collaboration","Middle East: The UAE is drawing sovereign wealth investment into Canadian data infrastructure and AI projects. Qatar is partnering with Canada on AI and emerging technologies, opening Gulf market access and supporting Vision 2030 diversification. Saudi Arabia is cooperating on tech and AI through the relaunched Joint Economic Commission.","Other","AI Entrepreneur; Other","International investment and market-access action with limited direct persona fit.","https://ised-isde.canada.ca/site/ised/en/canadas-national-artificial-intelligence-strategy-ai-all#:~:text=Middle%20East%3A%20The%20UAE%20is%20drawing%20sovereign%20wealth%20investment%20into%20Canadian%20data%20infrastructure%20and%20AI%20projects.%20Qatar%20is%20partnering%20with%20Canada%20on%20AI%20and%20emerging%20technologies%2C%20opening%20Gulf%20market%20access%20and%20supporting%20Vision%202030%20diversification.%20Saudi%20Arabia%20is%20cooperating%20on%20tech%20and%20AI%20through%20the%20relaunched%20Joint%20Economic%20Commission.","captured"
