comparator_id,jurisdiction_or_body,instrument_name,instrument_type,policy_force,primary_use,why_it_matters,source_ids,source_urls,status
eu-ai-act,European Union,EU AI Act,Binding law,Hard,"Deepfakes; high-risk AI; workplace/public-service AI; GPAI; copyright transparency","Shows what hard horizontal AI law looks like: risk categories, duties, transparency, and enforcement.",eu-ai-act-transparency; eu-ai-act-high-risk; eu-ai-act-gpai-copyright,https://digital-strategy.ec.europa.eu/en/policies/regulatory-framework-ai,captured
singapore-nais-ai-verify,Singapore,"National AI Strategy 2.0; AI Verify; governance playbooks","Strategy plus operational toolkit",Directional,"SME adoption; workforce; public-sector implementation; organizational governance","Useful because Singapore turns national ambition into practical governance tools and adoption playbooks.",singapore-nais; singapore-governance-playbook,https://file.go.gov.sg/nais2023.pdf | https://www.imda.gov.sg/resources/press-releases-factsheets-and-speeches/factsheets/2024/gen-ai-and-digital-foss-ai-governance-playbook,captured
uk-pro-innovation,United Kingdom,Pro-innovation AI regulation approach,Regulator-led model,Directional,"Sector regulators; safety institute; light-touch governance","Useful contrast to EU hard law: existing regulators apply cross-cutting AI principles sector by sector.",uk-pro-innovation-ai,https://www.gov.uk/government/publications/ai-regulation-a-pro-innovation-approach,captured
us-nist-rmf,United States,NIST AI Risk Management Framework,Voluntary risk framework,Directional,"Organizational AI governance; documentation; risk controls","Good operational comparator for what responsible organizations should map, measure, manage, and govern.",us-nist-ai-rmf,https://www.nist.gov/itl/ai-risk-management-framework,captured
us-omb-public-sector,United States,OMB federal agency AI governance policy,Public-sector governance rule,Hard,"Government AI use; public-service safeguards; agency accountability","Useful for public-sector AI because it translates AI governance into agency duties and risk-management practices.",us-omb-ai-governance,https://www.whitehouse.gov/omb/briefing-room/2024/03/28/omb-issues-government-wide-policy-to-advance-governance-innovation-and-risk-management-in-federal-agencies-use-of-artificial-intelligence/,captured
australia-guardrails,Australia,Voluntary AI Safety Standard,Voluntary safety standard,Directional,"SME adoption; workplace governance; practical guardrails","Plain-language guardrails for accountability, transparency, human oversight, contestability, and safety management.",australia-ai-safety-standard,https://www.industry.gov.au/publications/voluntary-ai-safety-standard,captured
japan-business-guidelines,Japan,AI Guidelines for Business,Business guidance,Directional,"Company lifecycle governance; innovation-friendly adoption","Business-facing governance without EU-style hard horizontal law.",japan-ai-business-guidelines,https://www.meti.go.jp/english/press/2024/0419_002.html,captured
france-ai-strategy,France,National AI strategy / France 2030,Industrial strategy,Funded,"AI champions; compute; research; strategic sectors","Close comparator for Canada because it mixes sovereignty, national champions, talent, compute, and industrial policy.",france-ai-strategy,https://www.entreprises.gouv.fr/fr/numerique/enjeux/la-strategie-nationale-pour-l-ia,captured
south-korea-basic-act,South Korea,AI Basic Act,Law plus industrial strategy,Hard,"Industrial competitiveness; trust obligations; national AI development","Useful hybrid: national industrial ambition with legal trust and safety architecture.",south-korea-ai-basic-act,https://www.korea.net/NewsFocus/policies/view?articleId=286183&pageIndex=1,captured
india-ai-mission,India,IndiaAI Mission,Funded mission,Funded,"Compute; datasets; skills; startups; public-good AI","Useful for compute access, public digital infrastructure, local-language AI, and startup ecosystem support.",india-ai-mission,https://www.pib.gov.in/PressReleaseIframePage.aspx?PRID=2012375,captured
sweden-ai-strategy,Sweden,Sweden's AI Strategy,National strategy,Directional,"Public administration; secure infrastructure; language models; energy-aware compute","Useful Nordic welfare-state comparator for public services, responsible AI, research, and infrastructure.",sweden-ai-strategy,https://www.government.se/information-material/2026/02/swedens-ai-strategy/,captured
norway-ai-strategy,Norway,National Strategy for Artificial Intelligence,National strategy,Directional,"Public-sector AI; data; language resources; infrastructure","Useful Nordic comparator for data resources, language, responsible use, and public modernization.",norway-ai-strategy,https://www.regjeringen.no/en/documents/nasjonal-strategi-for-kunstig-intelligens/id2685594/,captured
finland-auroraai,Finland,AuroraAI programme,Public-service programme,Funded,"Citizen services; life-event public service delivery","Good comparator for AI as public-service navigation, not just productivity or industry.",finland-auroraai,https://valtioneuvosto.fi/en/-/10623/the-auroraai-national-artificial-intelligence-programme-begins-with-the-aim-of-using-artificial-intelligence-to-bring-people-and-services-together-in-a-better-way,captured
china-genai-measures,China,Generative AI measures,Binding content/service regulation,Hard,"Synthetic content; public-facing GenAI; state control contrast","Useful as a contrast case for much harder public-facing GenAI controls under different political values.",china-generative-ai-measures,https://www.loc.gov/item/global-legal-monitor/2023-07-18/china-generative-ai-measures-finalized/,captured
oecd-ai-principles,OECD,OECD AI Principles,International norm,Directional,"Trustworthy AI baseline; accountability; transparency","Global baseline Canada can be compared against without overfitting to one country's law.",oecd-ai-principles,https://www.oecd.org/en/topics/ai-principles.html,captured
unesco-ai-ethics,UNESCO,Recommendation on the Ethics of AI,International norm,Directional,"Culture; education; human rights; environment; inclusion","Useful for creator, culture, education, gender, environment, and public-good lenses.",unesco-ai-ethics,https://www.unesco.org/en/articles/recommendation-ethics-artificial-intelligence?hub=66973,captured
g7-hiroshima-ai,G7 / OECD,Hiroshima AI Process,Voluntary international code,Directional,"Advanced AI developers; transparency reporting; model governance","Useful for advanced AI model governance where Canada may rely on voluntary international alignment.",g7-hiroshima-ai-process,https://transparency.oecd.ai/,captured
colorado-ai-act,Colorado USA,Consumer Protections for Artificial Intelligence,State law,Hard,"Consequential decisions; discrimination; consumer rights","Concrete North American law for high-risk AI decisions affecting people.",colorado-ai-act,https://leg.colorado.gov/bills/sb24-205,captured
nyc-aedt-law,New York City USA,Automated Employment Decision Tools law,Local law,Hard,"Hiring tools; workplace AI; bias audits; candidate notice","Narrow but useful concrete comparator for workplace and hiring AI accountability.",nyc-aedt-law,https://www.nyc.gov/site/dca/about/automated-employment-decision-tools.page,captured
